index,nfd-1-cps,nfd-1-cr,rr-active-state,rr-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,manual-scram
2717,26220000.0,0.0397,0,29.9595,0,62.587,0,47.4361,0
2718,26160000.0,0.0033,0,29.9596,0,62.5871,0,47.4363,0
2719,26170000.0,0.0009,0,29.9591,0,62.5867,0,47.4362,0
2720,26170000.0,0.0258,0,29.9586,0,62.5862,0,47.4354,0
2721,26180000.0,0.0554,0,29.9586,0,62.5867,0,47.4358,0
2722,26220000.0,0.0527,0,29.9585,0,62.5865,0,47.4361,0
2723,26210000.0,0.0238,0,29.9586,0,62.5869,0,47.4358,0
2724,26210000.0,0.0207,0,29.9587,0,62.5865,0,47.436,0
2725,26220000.0,0.0106,0,29.9586,0,62.5863,0,47.4352,0
2726,26180000.0,-0.0083,0,29.9586,0,62.5863,0,47.4355,0
2727,26150000.0,-0.0119,0,29.9586,0,62.5867,0,47.4356,0
2728,26150000.0,-0.0178,0,29.9589,0,62.5863,0,47.4361,0
2729,26180000.0,0.0038,0,29.9593,0,62.5861,0,47.4359,0
2730,26240000.0,0.0607,0,29.9584,0,62.5859,0,47.4355,0
2731,26220000.0,0.0248,0,29.9584,0,62.5865,0,47.4355,0
2732,26150000.0,-0.0006,0,29.9586,0,62.586,0,47.4354,0
2733,26140000.0,0.0031,0,29.9584,0,62.586,0,47.4357,0
2734,26210000.0,0.0399,0,29.9585,0,62.586,0,47.4358,0
2735,26230000.0,0.0248,0,29.9583,0,62.5865,0,47.4357,0
2736,26200000.0,0.0384,0,29.9585,0,62.587,0,47.4356,0
2737,26220000.0,0.0338,0,29.9588,0,62.587,0,47.436,0
2738,26210000.0,-0.0011,0,29.9588,0,62.5863,0,47.4354,0
2739,26200000.0,0.0199,0,29.9588,0,62.5866,0,47.4356,0
2740,26240000.0,0.0767,0,29.9594,0,62.5864,0,47.4358,0
2741,26250000.0,0.0695,0,29.9589,0,62.5869,0,47.436,0
2742,26270000.0,0.0617,0,29.9585,0,62.5869,0,47.4357,0
2743,26300000.0,0.0726,0,29.9589,0,62.5867,0,47.4359,0
2744,26300000.0,0.0469,0,29.9585,0,62.586,0,47.436,0
2745,26280000.0,0.0254,0,29.9588,0,62.5866,0,47.4358,0
